CAPITAL;CASOS_SC;CASOS_SG;N_NV;Prop_COB_ESF;Porc_COB_ESF;N_FAMILIAS_BF;N_GEST_10_19_CAD;N_GEST_20>;N_GEST_CAD;REPASSE_SF_REAIS;N_GIN/OBST;N_MEDICO_ESF;Porc_BRANCA;Porc_PRETA;Porc_AMARELA;Porc_PARDA;Porc_ INDIGENA;Porc_PRENAT_NAO;Porc_INADEQ;Porc_INTERMED;Porc_ADEQ;Porc_MAIS_ADEQ;INST_0;INST_1_3;INST_4_7;INST_8_11;INST_12>;ID_10_14 ;ID_15_19;ID_20_24;ID_25_29;ID_30_34;ID_35_39;ID_40 _44;ID_45_49
Cuiabá;120;55;10689;0,371;37,080;;;;0;5.176.256,00;124;48;21,2;4,8;0,4;73,4;0,1;0,2;19,9;6,9;8,4;64,7;11;33;652;6570;3423;59;1606;2534;2873;2287;1099;220;11
Goiânia;96;211;22866;0,432;43,240;500;38;;38;13.453.280,00;338;138;40,8;2,8;1,0;55,2;0,1;0,2;16,3;5,9;7,5;70,0;24;410;2992;11232;7819;98;2721;5157;6148;5404;2726;578;23
Brasília;239;287;46122;0,302;30,240;9389;4625;26273;30898;16.943.430,00;712;235;28,4;3,5;0,5;67,5;0,1;1,0;19,6;6,3;6,6;66,5;73;590;6581;22195;16074;207;5472;9748;10932;11502;6654;1502;99
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
